Key,Hybrid2 (nM/day),weightNH4,Station,iteration,Denit from NO3- (nM/day),weightNO2,Nitrification (nM/day),Denit fromNO2- (nM/day),Feature,cost,weightNO3,f,Denit from NO2- (nM/day)
PS3Deep oxycline,0.0159362867415575,0.3333333333333333,PS3,10,0.0,0.3333333333333333,0.0001218004245594,,Deep oxycline,9.15071151782731,0.3333333333333333,0.3779911804095577,0.002534917818016
PS3Deep oxycline,0.0161941975309907,0.3333333333333333,PS3,16,0.0,0.3333333333333333,0.0001253590345291,,Deep oxycline,9.136822336721842,0.3333333333333333,0.3780623670186087,0.002505294116304
PS3Deep oxycline,0.0162354917978425,0.3333333333333333,PS3,6,0.0,0.3333333333333333,0.0001070408375501,,Deep oxycline,9.312646901672249,0.3333333333333333,0.3777785023627403,0.0025324421515956
PS3Deep oxycline,0.0157439996279066,0.3333333333333333,PS3,9,0.0,0.3333333333333333,0.0001463759638642,,Deep oxycline,9.108243115924,0.3333333333333333,0.3780928416096678,0.002547124334931
PS3Deep oxycline,0.0158171624906125,0.3333333333333333,PS3,3,0.0,0.3333333333333333,8.73517541211204e-05,,Deep oxycline,9.14357157550285,0.3333333333333333,0.378048106479577,0.0024639942807653
PS3Deep oxycline,0.0155105663550038,0.3333333333333333,PS3,11,0.0,0.3333333333333333,0.0001041376091071,,Deep oxycline,9.128744755325013,0.3333333333333333,0.3776864427650657,0.0024989691943672
PS3Deep oxycline,0.0168764369304945,0.3333333333333333,PS3,2,0.0,0.3333333333333333,0.0001951443885596,,Deep oxycline,9.16133691658067,0.3333333333333333,0.3779628418215186,0.0026968250451855
PS3Deep oxycline,0.0153560858749034,0.3333333333333333,PS3,1,0.0,0.3333333333333333,0.0001634589625763,,Deep oxycline,8.959376032112662,0.3333333333333333,0.3785211036882002,0.0025074695433773
PS3Deep oxycline,0.0164589637515554,0.3333333333333333,PS3,18,0.0,0.3333333333333333,0.0001072162939724,,Deep oxycline,9.18437674741206,0.3333333333333333,0.3779682842082503,0.0025131214349433
PS3Deep oxycline,0.0149675642768326,0.3333333333333333,PS3,17,0.0,0.3333333333333333,0.0001713227945618,,Deep oxycline,8.908344659291817,0.3333333333333333,0.3788634289957555,0.0025101280434489
PS3Deep oxycline,0.0168291092340762,0.3333333333333333,PS3,8,0.0,0.3333333333333333,0.000196755060027,,Deep oxycline,9.144014512805436,0.3333333333333333,0.3779983017601852,0.0026237865689172
PS3Deep oxycline,0.0172834354694082,0.3333333333333333,PS3,12,0.0,0.3333333333333333,9.917965963969028e-05,,Deep oxycline,9.525819071487224,0.3333333333333333,0.3775563734678774,0.0026154422927381
PS3Deep oxycline,0.0158283636690786,0.3333333333333333,PS3,19,0.0,0.3333333333333333,0.0001900665081854,,Deep oxycline,8.93592138194708,0.3333333333333333,0.3786406825308515,0.0025298143696731
PS3Deep oxycline,0.0171041234202215,0.3333333333333333,PS3,4,0.0,0.3333333333333333,0.000209714771711,,Deep oxycline,9.212466499955816,0.3333333333333333,0.3779728164561677,0.0026577091485731
PS3Deep oxycline,0.0161036201491919,0.3333333333333333,PS3,0,0.0,0.3333333333333333,0.0001416962510024,,Deep oxycline,9.070254162140982,0.3333333333333333,0.3781811435036337,0.0026077482025647
PS3Deep oxycline,0.0166786416606832,0.3333333333333333,PS3,7,0.0,0.3333333333333333,0.0001431994543869,,Deep oxycline,9.058254630238531,0.3333333333333333,0.3782580159793163,0.0025236472182206
PS3Deep oxycline,0.0161834692682015,0.3333333333333333,PS3,14,0.0,0.3333333333333333,0.00011091698965,,Deep oxycline,9.11257466076417,0.3333333333333333,0.378062024944702,0.0025168124636297
PS3Deep oxycline,0.017125145615591,0.3333333333333333,PS3,13,0.0,0.3333333333333333,0.0001681199094562,,Deep oxycline,9.308650700190515,0.3333333333333333,0.3777859930095444,0.0025945675653554
PS3Deep oxycline,0.0166311668693796,0.3333333333333333,PS3,20,0.0,0.3333333333333333,0.0001119780981467,,Deep oxycline,9.160092571861805,0.3333333333333333,0.3779514972986341,0.0025273201358514
PS3Deep oxycline,0.017425574274326,0.3333333333333333,PS3,5,0.0,0.3333333333333333,8.953105262571219e-05,,Deep oxycline,9.60359547163003,0.3333333333333333,0.3773675871695292,0.0026507139728775
PS3Deep oxycline,0.0161945154121111,0.3333333333333333,PS3,31,0.0,0.3333333333333333,0.0001489291639351,,Deep oxycline,9.1843074310573,0.3333333333333333,0.378020202896856,0.0025480355521293
PS3Deep oxycline,0.0172430431467647,0.3333333333333333,PS3,15,0.0,0.3333333333333333,0.0001374970692628,,Deep oxycline,9.38358897047345,0.3333333333333333,0.3776939259183347,0.0026770434090361
