Key,Denit from NO3- (nM/day),Nitrification (nM/day),Denit fromNO2- (nM/day),f,iteration,cost,Hybrid2 (nM/day),Feature,weightNO2,weightNO3,Station,weightNH4,Denit from NO2- (nM/day)
PS2Deep oxycline,0.0,0.0,,0.8497140194061525,16,10.275046387521416,0.0,Deep oxycline,0.3333333333333333,0.3333333333333333,PS2,0.3333333333333333,0.0
PS2Deep oxycline,0.0,0.0,,0.8497140194061525,12,10.275046387521416,0.0,Deep oxycline,0.3333333333333333,0.3333333333333333,PS2,0.3333333333333333,0.0
PS2Deep oxycline,0.0,0.0,,0.698551734726069,2,10.275046387521416,0.0,Deep oxycline,0.3333333333333333,0.3333333333333333,PS2,0.3333333333333333,0.0
PS2Deep oxycline,0.0,0.0,,0.698551734726069,8,10.275046387521416,0.0,Deep oxycline,0.3333333333333333,0.3333333333333333,PS2,0.3333333333333333,0.0
PS2Deep oxycline,0.0,0.0,,0.698551734726069,1,10.275046387521416,0.0,Deep oxycline,0.3333333333333333,0.3333333333333333,PS2,0.3333333333333333,0.0
PS2Deep oxycline,0.0,0.0,,0.698551734726069,4,10.275046387521416,0.0,Deep oxycline,0.3333333333333333,0.3333333333333333,PS2,0.3333333333333333,0.0
PS2Deep oxycline,0.0,0.0,,0.698551734726069,0,10.275046387521416,0.0,Deep oxycline,0.3333333333333333,0.3333333333333333,PS2,0.3333333333333333,0.0
PS2Deep oxycline,0.0,0.0,,0.698551734726069,15,10.275046387521416,0.0,Deep oxycline,0.3333333333333333,0.3333333333333333,PS2,0.3333333333333333,0.0
PS2Deep oxycline,0.0,0.0,,0.698551734726069,9,10.275046387521416,0.0,Deep oxycline,0.3333333333333333,0.3333333333333333,PS2,0.3333333333333333,0.0
PS2Deep oxycline,0.0,0.0,,0.698551734726069,3,10.275046387521416,0.0,Deep oxycline,0.3333333333333333,0.3333333333333333,PS2,0.3333333333333333,0.0
PS2Deep oxycline,0.0,0.0,,0.698551734726069,14,10.275046387521416,0.0,Deep oxycline,0.3333333333333333,0.3333333333333333,PS2,0.3333333333333333,0.0
PS2Deep oxycline,0.0,0.0,,0.698551734726069,13,10.275046387521416,0.0,Deep oxycline,0.3333333333333333,0.3333333333333333,PS2,0.3333333333333333,0.0
PS2Deep oxycline,0.0,0.0,,0.698551734726069,6,10.275046387521416,0.0,Deep oxycline,0.3333333333333333,0.3333333333333333,PS2,0.3333333333333333,0.0
PS2Deep oxycline,0.0,0.0,,0.698551734726069,7,10.275046387521416,0.0,Deep oxycline,0.3333333333333333,0.3333333333333333,PS2,0.3333333333333333,0.0
PS2Deep oxycline,0.0,0.0,,0.698551734726069,19,10.275046387521416,0.0,Deep oxycline,0.3333333333333333,0.3333333333333333,PS2,0.3333333333333333,0.0
PS2Deep oxycline,0.0,0.0,,0.698551734726069,10,10.275046387521416,0.0,Deep oxycline,0.3333333333333333,0.3333333333333333,PS2,0.3333333333333333,0.0
