Key,iteration,cost,Denit fromNO2- (nM/day),Nitrification (nM/day),Hybrid2 (nM/day),f,Station,Feature,weightNH4,Denit from NO3- (nM/day),weightNO3,weightNO2,Denit from NO2- (nM/day)
PS3Mid-oxycline,6,1.979293566117815,,8.944951398715598e-05,0.0004606585808151,0.0,PS3,Mid-oxycline,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0001741402777398
PS3Mid-oxycline,11,1.9882513824521024,,0.0001591628115738,0.0004130073219156,0.000148332488594,PS3,Mid-oxycline,0.3333333333333333,0.0007965547087521,0.3333333333333333,0.3333333333333333,0.0001630060703933
PS3Mid-oxycline,1,1.9785570468270857,,0.0001333531495773,0.0005056047986354,0.0002172021824315,PS3,Mid-oxycline,0.3333333333333333,0.0005048998337987,0.3333333333333333,0.3333333333333333,0.0001762352471392
PS3Mid-oxycline,2,1.988056598961609,,0.0001169384342123,0.0003956822490347,0.0001284694969936,PS3,Mid-oxycline,0.3333333333333333,0.0006609369934044,0.3333333333333333,0.3333333333333333,0.0001451199596892
PS3Mid-oxycline,17,1.993852728291147,,0.000146672480124,0.0003548529656067,0.0019825036973556,PS3,Mid-oxycline,0.3333333333333333,0.0006077885616673,0.3333333333333333,0.3333333333333333,0.0001557404890759
PS3Mid-oxycline,8,1.9919922340978704,,0.0001613596056685,0.0003966133684965,8.59112998629456e-05,PS3,Mid-oxycline,0.3333333333333333,0.0005508095978894,0.3333333333333333,0.3333333333333333,0.0001663499808946
PS3Mid-oxycline,15,1.9851144387459423,,0.0001144191043175,0.0004114736305734,0.0002281597021822,PS3,Mid-oxycline,0.3333333333333333,0.0006319320841059,0.3333333333333333,0.3333333333333333,0.0001649986887115
PS3Mid-oxycline,22,2.002372401598021,,0.0002711999379119,0.00039210998732,0.0,PS3,Mid-oxycline,0.3333333333333333,0.0005008658715241,0.3333333333333333,0.3333333333333333,0.0001536964897271
PS3Mid-oxycline,16,1.9792447733640697,,0.0001036742866153,0.0004460776169129,5.923582673457368e-05,PS3,Mid-oxycline,0.3333333333333333,0.000778546973321,0.3333333333333333,0.3333333333333333,0.0001743932655154
PS3Mid-oxycline,9,1.9908631563232184,,0.0001897140958692,0.0004280076832307,0.0,PS3,Mid-oxycline,0.3333333333333333,2.84805723413934e-08,0.3333333333333333,0.3333333333333333,0.00017464456176
